Function No.,I,B,M,W,SD,SEM,Time,Runs,Iteration,Total Iterations,FE,Speedup,Success Rate
F1,1.000000e+02,1.000020e+02,1.000677e+02,1.002726e+02,7.059264e-02,1.288839e-02,6.86,30,5000,150000,250000,45.3353,16.7%
F3,3.000000e+02,3.000000e+02,3.000000e+02,3.000000e+02,2.729707e-09,4.983740e-10,0.23,30,5000,150000,250000,1352.1739,100.0%
F4,4.000000e+02,4.000000e+02,4.000000e+02,4.000000e+02,2.685497e-09,4.903025e-10,0.76,30,5000,150000,250000,409.2105,100.0%
F5,5.000000e+02,5.000000e+02,5.000000e+02,5.000000e+02,3.061281e-09,5.589109e-10,1.01,30,5000,150000,250000,307.9208,100.0%
F6,6.000000e+02,6.000000e+02,6.000000e+02,6.000000e+02,2.189707e-09,3.997840e-10,0.86,30,5000,150000,250000,361.6279,100.0%
F7,7.000000e+02,7.000000e+02,7.000861e+02,7.020388e+02,3.632169e-01,6.631404e-02,15.48,30,5000,150000,250000,20.0904,43.3%
F8,8.000000e+02,8.000000e+02,8.000000e+02,8.000000e+02,3.100691e-09,5.661062e-10,2.59,30,5000,150000,250000,120.0772,100.0%
F9,9.000000e+02,9.000000e+02,9.000000e+02,9.000000e+02,2.681874e-09,4.896409e-10,0.22,30,5000,150000,250000,1413.6364,100.0%
F10,1.000000e+03,1.000000e+03,1.000001e+03,1.000004e+03,1.034437e-03,1.888615e-04,12.46,30,5000,150000,250000,24.9599,100.0%
F21,2.100000e+03,2.100000e+03,2.100000e+03,2.100000e+03,1.567127e-09,2.861169e-10,12.43,30,5000,150000,250000,25.0201,100.0%
F22,2.200000e+03,2.200000e+03,2.200000e+03,2.200000e+03,2.674963e-09,4.883792e-10,10.81,30,5000,150000,250000,28.7697,100.0%
F23,2.300000e+03,2.300000e+03,2.300000e+03,2.300000e+03,2.269415e-09,4.143366e-10,30.33,30,5000,150000,250000,10.2539,100.0%
F24,2.400000e+03,2.400000e+03,2.400000e+03,2.400000e+03,2.377302e-09,4.340341e-10,13.70,30,5000,150000,250000,22.7007,100.0%
F25,2.500000e+03,2.500000e+03,2.500061e+03,2.501824e+03,3.274317e-01,5.978058e-02,120.25,30,5000,150000,250000,2.5863,96.7%
F26,2.600000e+03,2.600000e+03,2.600000e+03,2.600000e+03,2.507375e-09,4.577820e-10,11.94,30,5000,150000,250000,26.0469,100.0%
F27,2.700000e+03,2.700000e+03,2.700000e+03,2.700000e+03,1.026975e-04,1.874992e-05,305.96,30,5000,150000,250000,1.0165,100.0%
F28,2.800000e+03,2.800000e+03,2.857000e+03,2.900000e+03,4.629985e+01,8.453157e+00,311.00,30,5000,150000,250000,1.0000,20.0%
